"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"232","ILMN_2261600",0.279437113058789,8.77479000419601,3.89426895222316,0.000114114830297862,0.034274718324107,0.0652746684734096,"FCGR1CP","Fc gamma receptor Ic, pseudogene"
"9","ILMN_1657682",0.0540883061546076,8.16408946883553,3.88833691964442,0.000116842076213706,0.0345729790439339,0.0430117228102418,"GFM1","G elongation factor mitochondrial 1"
"106","ILMN_1748291",0.0732455958919864,8.45700160035768,3.8818968685548,0.000119872665430734,0.0345729790439339,0.0188779926735672,"SDE2","SDE2 telomere maintenance homolog"
"159","ILMN_1785926",0.0421593307307795,8.05457663146386,3.88249212006284,0.000119589459765303,0.0345729790439339,0.021107100254663,"ZNF621","zinc finger protein 621"
"224","ILMN_2204909",-0.151976595605591,9.60456361312277,-3.88395139090822,0.000118897851480307,0.0345729790439339,0.026573149489141,"XRCC2","X-ray repair cross complementing 2"
"237","ILMN_2307740",0.214608781648105,10.1325136433929,3.88489391210948,0.000118453165481998,0.0345729790439339,0.0301046065855415,"CD46","CD46 molecule"
"249","ILMN_2370976",0.0529595094179651,7.91652059793238,3.88606131860319,0.000117904559168223,0.0345729790439339,0.0344797756159902,"MYOF","myoferlin"
"240","ILMN_2323848",-0.0227025215859875,7.82386995846686,-3.87982243310985,0.00012086459665192,0.0346540127647521,0.0111121029386014,"PARD6A","par-6 family cell polarity regulator alpha"
"30","ILMN_1677487",-0.0550559086031566,8.17700770478454,-3.87491138555197,0.000123243952672037,0.0347234493707538,-0.00725754650956034,"ANKZF1","ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1"
"235","ILMN_2285713",-0.124616107176051,8.89839010440296,-3.87565689839779,0.00012287992796793,0.0347234493707538,-0.0044703711484706,"TDP1","tyrosyl-DNA phosphodiesterase 1"
"238","ILMN_2310909",-0.0588137786866305,8.08314437193083,-3.87739562188143,0.000122034879342768,0.0347234493707538,0.00203196553868334,"ATP2A3","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3"
"178","ILMN_1804328",0.107733463530531,8.72575856015153,3.87111224359468,0.000125114926732513,0.0350479986137711,-0.0214532577268436,"WWP1","WW domain containing E3 ubiquitin protein ligase 1"
"95","ILMN_1738681",0.123260890754098,10.4606984292588,3.86886460078774,0.000126234445509663,0.03515953910304,-0.0298455896275511,"NUP62","nucleoporin 62"
"99","ILMN_1741176",0.0678509032230892,8.30244311940908,3.86323984728106,0.000129077723013727,0.0357471953132676,-0.0508275785359293,"CHMP2B","charged multivesicular body protein 2B"
"185","ILMN_1812967",-0.0979194193092159,8.81582352160878,-3.84856298678858,0.000136784673656991,0.037667562505023,-0.105442472589186,"CNPY3","canopy FGF signaling regulator 3"
"16","ILMN_1662964",0.0657421292679423,8.30984295743061,3.83897995523413,0.000142049395008526,0.0376744237735438,-0.140997728787337,"PRMT3","protein arginine methyltransferase 3"
"51","ILMN_1702301",0.114626899111865,9.29330643308238,3.83963348128803,0.000141684361313047,0.0376744237735438,-0.138575625780667,"DOCK10","dedicator of cytokinesis 10"
"76","ILMN_1720623",-0.0917767426914722,8.63118704635436,-3.83855559524858,0.000142286901399747,0.0376744237735438,-0.142570288720163,"SYTL3","synaptotagmin like 3"
"83","ILMN_1726769",0.15922236835693,10.7223874189527,3.83883256115451,0.000142131846233477,0.0376744237735438,-0.141543948597612,"CNDP2","carnosine dipeptidase 2"
"87","ILMN_1729749",0.341689621159077,9.67351540750368,3.84392492300356,0.000139309267823715,0.0376744237735438,-0.122661091227857,"HERC5","HECT and RLD domain containing E3 ubiquitin protein ligase 5"
"121","ILMN_1764165",-0.0187123428201525,7.83871389382191,-3.84605574942952,0.000138143994189732,0.0376744237735438,-0.114752893482619,"TRIM65","tripartite motif containing 65"
"233","ILMN_2262444",-0.106746265445334,8.95068963301284,-3.83729779813611,0.000142993073696311,0.0376744237735438,-0.147230381048645,NA,NA
"242","ILMN_2331082",0.139430904476344,9.2225533809248,3.83875565110132,0.000142174887139034,0.0376744237735438,-0.141828957662417,"MS4A7","membrane spanning 4-domains A7"
"143","ILMN_1777565",0.117604695069771,8.70662490746574,3.8357094176746,0.000143889580115609,0.0376961444914412,-0.153113235148997,"TAP2","transporter 2, ATP binding cassette subfamily B member"
"195","ILMN_1867321",-0.0265473485099719,7.92502931128087,-3.83441819584167,0.000144622276884402,0.0376961444914412,-0.157893832709848,NA,NA
"248","ILMN_2367753",-0.100169887406372,8.84425598503071,-3.8278836814272,0.000148384634087296,0.0384557492330257,-0.182064054496234,"ATP2B4","ATPase plasma membrane Ca2+ transporting 4"
"253","ILMN_2391141",0.0793346424318084,8.26264646212038,3.82663427648823,0.000149114451705754,0.0384557492330257,-0.186681037526929,"UBE3A","ubiquitin protein ligase E3A"
"32","ILMN_1678922",0.0803406182208128,8.41712780990269,3.82406668462105,0.000150624923755046,0.0386408422824656,-0.1961647573214,"HERC4","HECT and RLD domain containing E3 ubiquitin protein ligase 4"
"3","ILMN_1652825",-0.0919448714863673,9.0674989915388,-3.81874316480898,0.000153802836629307,0.0390450930363838,-0.215808893034139,"IL10RA","interleukin 10 receptor subunit alpha"
"137","ILMN_1772522",0.0534458082177558,8.26319822380472,3.81961934521352,0.000153275476720553,0.0390450930363838,-0.212577487817335,"ZBTB14","zinc finger and BTB domain containing 14"
"79","ILMN_1724066",-0.140295041691891,9.22606984913071,-3.81594682250945,0.000155497399824889,0.0392707474728742,-0.226117336000195,"PLCB2","phospholipase C beta 2"
"27","ILMN_1674560",-0.0511965492938824,8.2033594441504,-3.81068537152952,0.000158733711341917,0.0398814358671532,-0.24549403219079,"GBA2","glucosylceramidase beta 2"
"33","ILMN_1680193",0.0476976248273555,8.24220910224374,3.80470825442275,0.000162487376939443,0.0404079577897057,-0.267476042596199,"PAXIP1","PAX interacting protein 1"
"201","ILMN_2049766",0.0304172461192262,7.8768076145627,3.80530115341912,0.000162111321416899,0.0404079577897057,-0.2652969822679,"NFE2L3","NFE2 like bZIP transcription factor 3"
"257","ILMN_2399310",0.0429162949598272,8.07199855778542,3.80034838532259,0.00016527809677973,0.0408933248387696,-0.283489963331284,"MLLT10","MLLT10 histone lysine methyltransferase DOT1L cofactor"
"12","ILMN_1660900",-0.0341877431264823,8.12188659088019,-3.78553661249804,0.000175100768408325,0.0415017991269683,-0.337765766424095,"SNORA7B","small nucleolar RNA, H/ACA box 7B"
"119","ILMN_1763884",-0.0624241618867796,8.52858645021886,-3.79028253862481,0.000171894978786487,0.0415017991269683,-0.320396522482334,"PAM16","presequence translocase associated motor 16"
"120","ILMN_1763884",-0.0624241618867796,8.52858645021886,-3.79028253862481,0.000171894978786487,0.0415017991269683,-0.320396522482334,"CORO7-PAM16","CORO7-PAM16 readthrough"
"125","ILMN_1766902",-0.0166729899166675,7.81322798622374,-3.78694502227837,0.000174143572514105,0.0415017991269683,-0.33261336161846,NA,NA
"127","ILMN_1767894",0.107108486698564,8.9714216847076,3.79343721682609,0.000169794785147201,0.0415017991269683,-0.308839701500512,"POLB","DNA polymerase beta"
"154","ILMN_1784554",-0.0696986617778546,8.27856671202968,-3.7853583900941,0.000175222246780665,0.0415017991269683,-0.338417632101568,NA,NA
"158","ILMN_1785703",-0.112640478306909,8.83290340864399,-3.78509710014105,0.000175400488698771,0.0415017991269683,-0.339373273474815,"LMOD3","leiomodin 3"
"177","ILMN_1804277",0.0415296527148223,7.92282841952951,3.79002729761239,0.000172065970595238,0.0415017991269683,-0.321331177007058,"SPRED1","sprouty related EVH1 domain containing 1"
"202","ILMN_2055760",-0.0593596031518082,8.15955435432803,-3.78687993215446,0.000174187700587849,0.0415017991269683,-0.332851521222881,"LNPK","lunapark, ER junction formation factor"
"226","ILMN_2214910",-0.0422174644629374,7.90986762432509,-3.78642902215163,0.000174493686467271,0.0415017991269683,-0.334501260044927,"EPHB4","EPH receptor B4"
"198","ILMN_1900270",-0.0865060225937633,8.3152538083991,-3.78201615321083,0.000177515135921032,0.0417992403626229,-0.350636869082356,NA,NA
"29","ILMN_1677186",-0.0302651690383424,7.91114649370131,-3.7785658286047,0.000179911858440694,0.0421599221351746,-0.363240682168385,NA,NA
"141","ILMN_1776723",0.132127048665986,10.582404259716,3.77421942924031,0.000182974493511548,0.0426724534102387,-0.379102478442954,"PHF11","PHD finger protein 11"
"174","ILMN_1801767",0.105232220647045,8.56130048723188,3.77212849881474,0.000184465300966098,0.0428152747604264,-0.386727056177494,"ABHD3","abhydrolase domain containing 3, phospholipase"
"184","ILMN_1812759",0.0798935323459382,8.1067228500653,3.76965092747186,0.000186246610587561,0.0429763052742791,-0.395756401290015,"GCH1","GTP cyclohydrolase 1"
"260","ILMN_2411731",0.0412840172726039,8.08150566439048,3.76871669212083,0.000186922504578129,0.0429763052742791,-0.399159718724395,"HPS5","HPS5 biogenesis of lysosomal organelles complex 2 subunit 2"
"37","ILMN_1686662",-0.0844808556627843,8.40939318918074,-3.76702619915184,0.000188151415278234,0.0430557571994914,-0.405315993172985,"ANP32A-IT1","ANP32A intronic transcript 1"
"49","ILMN_1700432",-0.0985103163935026,8.95100523210119,-3.76437405818317,0.000190094766818722,0.0430958098803636,-0.41496909475464,"ITPKB","inositol-trisphosphate 3-kinase B"
"148","ILMN_1780334",0.139087754240176,9.25891302083282,3.76485349718862,0.000189742062781169,0.0430958098803636,-0.413224533029817,"KCNJ2","potassium inwardly rectifying channel subfamily J member 2"
"124","ILMN_1765860",0.145533738913779,9.17408830657734,3.76066796941012,0.000192842125941555,0.043516254178904,-0.428447630633328,"DOCK11","dedicator of cytokinesis 11"
"186","ILMN_1812995",0.0954163628653308,8.23522062243923,3.75726079257172,0.00019540089634466,0.043890463085859,-0.440828098083714,"CTSL","cathepsin L"
"171","ILMN_1797728",0.0603388147980066,8.10331553719641,3.75286967909601,0.000198745831458569,0.0444370152153834,-0.45676834291995,"HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1"
"25","ILMN_1672356",-0.110139383196556,8.87403480844492,-3.74624017962396,0.000203898297636051,0.0449701847211601,-0.48080111052122,NA,NA
"34","ILMN_1683178",0.0638252832776391,8.08845861360958,3.74726445791213,0.000203094084427102,0.0449701847211601,-0.477090572715368,"JAK2","Janus kinase 2"
